ticker,mover_type,first_seen_date_utc,last_seen_date_utc,cooling_days_required,eligible_date_utc,status,notes
CVX,GAINER,2026-01-01 03:56:00.065647,2026-01-02 08:45:18.192697,1,2026-01-03 08:45:18.192697,EXPIRED,
STNG,GAINER,2026-01-14 16:55:48.853860,2026-01-14 16:55:48.853860,1,2026-01-15 16:55:48.853860,EXPIRED,
TVTX,LOSER,2026-01-14 16:55:48.853860,2026-01-14 16:55:48.853860,1,2026-01-15 16:55:48.853860,EXPIRED,
IRTC,LOSER,2026-01-14 16:55:48.853860,2026-01-14 16:55:48.853860,1,2026-01-15 16:55:48.853860,EXPIRED,
WGS,LOSER,2026-01-14 16:55:48.853860,2026-01-14 16:55:48.853860,1,2026-01-15 16:55:48.853860,EXPIRED,
FIG,LOSER,2026-01-14 16:55:48.853860,2026-01-14 16:55:48.853860,1,2026-01-15 16:55:48.853860,EXPIRED,
PATH,LOSER,2026-01-14 16:55:48.853860,2026-01-14 16:55:48.853860,1,2026-01-15 16:55:48.853860,EXPIRED,
CRM,LOSER,2026-01-14 16:55:48.853860,2026-01-14 16:55:48.853860,1,2026-01-15 16:55:48.853860,EXPIRED,
DAVE,LOSER,2026-01-15 01:26:51.018124,2026-01-15T14:36:15.909809,1,2026-01-16 14:36:15.909809,EXPIRED,
APP,LOSER,2026-01-15 01:26:51.018124,2026-01-15T14:36:15.909809,1,2026-01-16 14:36:15.909809,EXPIRED,
PXED,LOSER,2026-01-15 02:55:13.520330,2026-01-15 02:55:13.520330,1,2026-01-16 02:55:13.520330,EXPIRED,
VIA,LOSER,2026-01-15 12:48:45.557310,2026-01-15T12:48:45.557310,1,2026-01-16 12:48:45.557310,EXPIRED,
LZ,LOSER,2026-01-15 12:48:45.557310,2026-01-15T12:48:45.557310,1,2026-01-16 12:48:45.557310,EXPIRED,
AFCG,LOSER,2026-01-15 12:48:45.557310,2026-01-15T12:48:45.557310,1,2026-01-16 12:48:45.557310,EXPIRED,
UEC,GAINER,2026-01-15 12:51:13.328241,2026-01-15T12:51:13.328241+00:00,1,2026-01-16 12:51:13.328241,EXPIRED,
PI,LOSER,2026-01-15 14:32:28.357096,2026-01-15T14:36:15.909809,1,2026-01-16 14:36:15.909809,EXPIRED,
GKOS,GAINER,2026-01-15 23:19:27.032795,2026-01-16T06:53:50.844776,1,2026-01-17 06:53:50.844776,EXPIRED,
ATEC,GAINER,2026-01-15 23:19:27.032795,2026-01-16T06:53:50.844776,1,2026-01-17 06:53:50.844776,EXPIRED,
AEIS,GAINER,2026-01-15 23:19:27.032795,2026-01-16T06:53:50.844776,1,2026-01-17 06:53:50.844776,EXPIRED,
CRCL,LOSER,2026-01-15 23:19:27.032795,2026-01-16T06:53:50.844776,1,2026-01-17 06:53:50.844776,EXPIRED,
IRON,LOSER,2026-01-15 23:19:27.032795,2026-01-16T06:53:50.844776,1,2026-01-17 06:53:50.844776,EXPIRED,
SMCI,GAINER,2026-01-17 07:27:03.910485,2026-01-20T02:52:21.890353,1,2026-01-21 02:52:21.890353,EXPIRED,
CEG,LOSER,2026-01-17 07:27:03.910485,2026-01-20T02:52:21.890353,1,2026-01-21 02:52:21.890353,EXPIRED,
BRZE,LOSER,2026-01-17 07:27:03.910485,2026-01-20T02:52:21.890353,1,2026-01-21 02:52:21.890353,EXPIRED,
VST,LOSER,2026-01-17 07:27:03.910485,2026-01-20T02:52:21.890353,1,2026-01-21 02:52:21.890353,EXPIRED,
AMCR,LOSER,2026-01-17 07:27:03.910485,2026-01-20T02:52:21.890353,1,2026-01-21 02:52:21.890353,EXPIRED,
WST,LOSER,2026-01-17 07:27:03.910485,2026-01-20T02:52:21.890353,1,2026-01-21 02:52:21.890353,EXPIRED,
LGN,GAINER,2026-01-18 09:57:40.220752,2026-01-20T02:52:21.890353,1,2026-01-21 02:52:21.890353,EXPIRED,
CRVS,GAINER,2026-01-20 02:52:21.890353,2026-01-20T02:52:21.890353,1,2026-01-21 02:52:21.890353,EXPIRED,
TNGX,GAINER,2026-01-20 02:52:21.890353,2026-01-20T02:52:21.890353,1,2026-01-21 02:52:21.890353,EXPIRED,
SPIR,GAINER,2026-01-20 02:52:21.890353,2026-01-20T02:52:21.890353,1,2026-01-21 02:52:21.890353,EXPIRED,
