ticker,name,exchange,sector,technical_score,technical_evidence,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
FIBK,"First Interstate BancSystem, Inc.",NASDAQ,Financial Services,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.56, 'resistance_level': None, 'volume_ratio_3d_to_20d': 3.58, 'rsi14': 56.93, 'above_ma10_ma20_ma50': True, 'ma10': 31.59, 'ma20': 31.77, 'ma50': 31.73, 'realized_vol_5d_ann_pct': 32.53}",33.029998779296875,3765503232,61749501.94228172,2025-12-01T00:00:00Z
UPWK,Upwork Inc.,NASDAQ,Communication Services,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.21, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.92, 'rsi14': 64.18, 'above_ma10_ma20_ma50': True, 'ma10': 18.39, 'ma20': 17.67, 'ma50': 17.52, 'realized_vol_5d_ann_pct': 43.39}",19.8799991607666,2687935232,103270487.66117096,2025-12-01T00:00:00Z
SPHR,Sphere Entertainment Co.,NYSE,Communication Services,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.93, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.49, 'rsi14': 62.48, 'above_ma10_ma20_ma50': True, 'ma10': 79.12, 'ma20': 77.03, 'ma50': 68.34, 'realized_vol_5d_ann_pct': 38.11}",83.13999938964844,3502707200,76912511.91230774,2025-12-01T00:00:00Z
NDSN,Nordson Corporation,NASDAQ,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.26, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.94, 'rsi14': 50.48, 'above_ma10_ma20_ma50': True, 'ma10': 232.57, 'ma20': 232.65, 'ma50': 231.91, 'realized_vol_5d_ann_pct': 20.01}",235.02999877929688,14677677056,71940701.1782074,2025-12-01T00:00:00Z
NSC,Norfolk Southern Corporation,NYSE,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.11, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.72, 'rsi14': 54.63, 'above_ma10_ma20_ma50': True, 'ma10': 285.45, 'ma20': 284.81, 'ma50': 288.5, 'realized_vol_5d_ann_pct': 20.31}",289.8299865722656,64613249024,393348640.9576416,2025-12-01T00:00:00Z
IBP,"Installed Building Products, Inc.",NYSE,Consumer Cyclical,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.97, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.75, 'rsi14': 56.36, 'above_ma10_ma20_ma50': True, 'ma10': 257.57, 'ma20': 254.96, 'ma50': 253.75, 'realized_vol_5d_ann_pct': 31.32}",266.0799865722656,8316907008,92727836.26594543,2025-12-01T00:00:00Z
CMI,Cummins Inc.,NYSE,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.06, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.55, 'rsi14': 56.2, 'above_ma10_ma20_ma50': True, 'ma10': 480.37, 'ma20': 470.77, 'ma50': 442.21, 'realized_vol_5d_ann_pct': 20.79}",496.1499938964844,78253449216,481324959.31915283,2025-12-01T00:00:00Z
TJX,"The TJX Companies, Inc.",NYSE,Consumer Cyclical,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.28, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.6, 'rsi14': 61.27, 'above_ma10_ma20_ma50': True, 'ma10': 149.35, 'ma20': 147.05, 'ma50': 144.2, 'realized_vol_5d_ann_pct': 24.63}",151.1300048828125,175065268224,934718605.7265472,2025-12-01T00:00:00Z
NU,Nu Holdings Ltd.,NYSE,Financial Services,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.46, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.82, 'rsi14': 65.4, 'above_ma10_ma20_ma50': True, 'ma10': 16.24, 'ma20': 16.12, 'ma50': 15.78, 'realized_vol_5d_ann_pct': 31.51}",17.479999542236328,80945340416,642128909.2751884,2025-12-01T00:00:00Z
HLT,Hilton Worldwide Holdings Inc.,NYSE,Consumer Cyclical,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.52, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.94, 'rsi14': 60.4, 'above_ma10_ma20_ma50': True, 'ma10': 275.27, 'ma20': 271.8, 'ma50': 266.07, 'realized_vol_5d_ann_pct': 28.71}",283.0400085449219,70167707648,440109029.961853,2025-12-01T00:00:00Z
