ticker,technical_score,technical_evidence,current_price,avg_dollar_volume_20d,asof_price_utc
MDGL,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.62, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.49, 'rsi14': 58.04, 'above_ma10_ma20_ma50': True, 'ma10': 577.5, 'ma20': 575.71, 'ma50': 522.4, 'realized_vol_5d_ann_pct': 60.5}",598.9099731445312,161950225.83709717,2025-12-26T00:00:00Z
WDC,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.83, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.44, 'rsi14': 59.2, 'above_ma10_ma20_ma50': True, 'ma10': 176.14, 'ma20': 172.11, 'ma50': 156.58, 'realized_vol_5d_ann_pct': 33.07}",181.5399932861328,1331593145.328064,2025-12-26T00:00:00Z
COHR,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.23, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.4, 'rsi14': 57.38, 'above_ma10_ma20_ma50': True, 'ma10': 182.99, 'ma20': 181.36, 'ma50': 155.17, 'realized_vol_5d_ann_pct': 39.89}",191.72000122070312,788160903.6708832,2025-12-26T00:00:00Z
LRCX,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.96, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.46, 'rsi14': 67.74, 'above_ma10_ma20_ma50': True, 'ma10': 168.59, 'ma20': 164.79, 'ma50': 157.45, 'realized_vol_5d_ann_pct': 28.91}",178.07000732421875,1714310436.312027,2025-12-26T00:00:00Z
NUVB,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.59, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.76, 'rsi14': 63.08, 'above_ma10_ma20_ma50': True, 'ma10': 9.04, 'ma20': 8.58, 'ma50': 6.57, 'realized_vol_5d_ann_pct': 44.6}",9.399999618530273,51307349.9583292,2025-12-26T00:00:00Z
AXSM,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.11, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.76, 'rsi14': 55.85, 'above_ma10_ma20_ma50': True, 'ma10': 150.35, 'ma20': 149.1, 'ma50': 142.37, 'realized_vol_5d_ann_pct': 31.23}",152.0500030517578,70010820.95657349,2025-12-26T00:00:00Z
NUE,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.02, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.6, 'rsi14': 62.05, 'above_ma10_ma20_ma50': True, 'ma10': 162.69, 'ma20': 162.16, 'ma50': 152.37, 'realized_vol_5d_ann_pct': 20.92}",166.35000610351562,244520187.28363037,2025-12-26T00:00:00Z
UAL,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.96, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.48, 'rsi14': 68.91, 'above_ma10_ma20_ma50': True, 'ma10': 112.25, 'ma20': 108.72, 'ma50': 101.06, 'realized_vol_5d_ann_pct': 25.44}",114.04000091552734,535819486.9153595,2025-12-26T00:00:00Z
APP,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.21, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.46, 'rsi14': 54.62, 'above_ma10_ma20_ma50': True, 'ma10': 699.98, 'ma20': 687.42, 'ma50': 627.77, 'realized_vol_5d_ann_pct': 35.6}",714.22998046875,2436263810.3067017,2025-12-26T00:00:00Z
MU,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.09, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.73, 'rsi14': 68.53, 'above_ma10_ma20_ma50': True, 'ma10': 257.55, 'ma20': 250.57, 'ma50': 234.79, 'realized_vol_5d_ann_pct': 50.46}",284.7900085449219,6579427528.0911255,2025-12-26T00:00:00Z
HL,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.67, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.67, 'rsi14': 68.46, 'above_ma10_ma20_ma50': True, 'ma10': 19.57, 'ma20': 18.38, 'ma50': 15.59, 'realized_vol_5d_ann_pct': 46.3}",20.200000762939453,472730683.5161209,2025-12-26T00:00:00Z
