ticker,stage,reason
A,scoring,score_below_min
AAMI,filters,"$ADV20 $11,227,651 < $75,000,000"
AAOI,scoring,score_below_min
AAP,scoring,score_below_min
AAPL,scoring,score_below_min
AARD,filters,"$ADV20 $3,700,915 < $75,000,000"
AAT,filters,"$ADV20 $8,831,537 < $75,000,000"
ABAT,filters,"Price $3.34 < $5.00; $ADV20 $21,979,986 < $75,000,000"
ABBV,scoring,score_below_min
ABCB,filters,"$ADV20 $36,133,578 < $75,000,000"
ABEO,filters,"$ADV20 $5,950,769 < $75,000,000"
ABG,filters,"$ADV20 $44,101,414 < $75,000,000"
ABL,filters,"$ADV20 $5,598,495 < $75,000,000"
ABM,filters,"$ADV20 $38,862,111 < $75,000,000"
ABNB,scoring,score_below_min
ABR,filters,"$ADV20 $27,788,790 < $75,000,000"
ABSI,filters,"Price $3.49 < $5.00; $ADV20 $13,492,365 < $75,000,000"
ABT,scoring,score_below_min
ABTC,filters,"Price $1.70 < $5.00; $ADV20 $31,835,867 < $75,000,000"
ABUS,filters,"Price $4.81 < $5.00; $ADV20 $6,316,868 < $75,000,000"
ACA,filters,"$ADV20 $23,458,684 < $75,000,000"
ACAD,filters,"$ADV20 $38,612,388 < $75,000,000"
ACCO,filters,"Price $3.73 < $5.00; $ADV20 $2,837,491 < $75,000,000"
ACDC,filters,"Price $3.89 < $5.00; $ADV20 $4,301,932 < $75,000,000"
ACEL,filters,"$ADV20 $5,008,632 < $75,000,000"
ACGL,scoring,score_below_min
ACHR,scoring,score_below_min
ACIC,filters,"$ADV20 $1,578,394 < $75,000,000"
ACIW,filters,"$ADV20 $33,948,231 < $75,000,000"
ACLS,filters,"$ADV20 $41,188,303 < $75,000,000"
ACLX,scoring,score_below_min
ACMR,filters,"$ADV20 $45,184,249 < $75,000,000"
ACN,scoring,score_below_min
ACNB,filters,"$ADV20 $1,421,273 < $75,000,000"
ACNT,filters,"$ADV20 $983,037 < $75,000,000"
ACR,filters,"$ADV20 $1,155,483 < $75,000,000"
ACRE,filters,"Price $4.78 < $5.00; $ADV20 $3,183,321 < $75,000,000"
ACRS,filters,"Price $3.01 < $5.00; $ADV20 $3,692,296 < $75,000,000"
ACT,filters,"$ADV20 $10,242,979 < $75,000,000"
ACTG,filters,"Price $3.74 < $5.00; $ADV20 $709,250 < $75,000,000"
ACTU,filters,"$ADV20 $620,805 < $75,000,000"
ACU,filters,"$ADV20 $320,757 < $75,000,000"
ACVA,filters,"$ADV20 $19,761,751 < $75,000,000"
ADAM,filters,"$ADV20 $5,703,690 < $75,000,000"
ADBE,scoring,score_below_min
ADCT,filters,"Price $3.53 < $5.00; $ADV20 $7,463,301 < $75,000,000"
ADEA,filters,"$ADV20 $15,227,120 < $75,000,000"
ADI,scoring,score_below_min
ADM,scoring,score_below_min
ADMA,filters,"$ADV20 $43,801,681 < $75,000,000"
ADNT,filters,"$ADV20 $20,768,073 < $75,000,000"
ADP,scoring,score_below_min
ADPT,filters,"$ADV20 $44,933,166 < $75,000,000"
ADSK,scoring,score_below_min
ADTN,filters,"$ADV20 $10,431,178 < $75,000,000"
ADUS,filters,"$ADV20 $17,751,439 < $75,000,000"
ADV,filters,"Price $0.88 < $5.00; $ADV20 $1,012,205 < $75,000,000"
AEBI,filters,"$ADV20 $2,612,195 < $75,000,000"
AEE,scoring,score_below_min
AEHR,filters,"$ADV20 $12,395,190 < $75,000,000"
AEIS,filters,"$ADV20 $72,874,343 < $75,000,000"
AEO,scoring,score_below_min
AEP,scoring,score_below_min
AES,signal,chop_threshold_not_met
AESI,filters,"$ADV20 $24,184,647 < $75,000,000"
AEVA,filters,"$ADV20 $29,035,531 < $75,000,000"
AEYE,filters,"$ADV20 $1,054,270 < $75,000,000"
AFCG,filters,"Price $2.85 < $5.00; $ADV20 $928,364 < $75,000,000"
AFL,scoring,score_below_min
AFRI,filters,"$ADV20 $255,845 < $75,000,000"
AGIO,filters,"$ADV20 $43,988,350 < $75,000,000"
AGL,filters,"Price $0.69 < $5.00; $ADV20 $4,397,118 < $75,000,000"
AGM,filters,"$ADV20 $13,365,920 < $75,000,000"
AGX,scoring,score_below_min
AGYS,filters,"$ADV20 $18,575,464 < $75,000,000"
AHCO,filters,"$ADV20 $11,629,952 < $75,000,000"
AHH,filters,"$ADV20 $6,554,282 < $75,000,000"
AHL,filters,"$ADV20 $10,362,609 < $75,000,000"
AHR,scoring,score_below_min
AI,scoring,score_below_min
AIG,scoring,score_below_min
AII,filters,"$ADV20 $3,307,056 < $75,000,000"
AIN,filters,"$ADV20 $17,038,122 < $75,000,000"
AIOT,filters,"$ADV20 $6,234,813 < $75,000,000"
AIP,filters,"$ADV20 $10,657,553 < $75,000,000"
AIR,filters,"$ADV20 $28,955,743 < $75,000,000"
AIRJ,filters,"Price $3.94 < $5.00; $ADV20 $2,003,464 < $75,000,000"
AIRO,filters,"$ADV20 $5,568,952 < $75,000,000"
AIRS,filters,"Price $1.98 < $5.00; $ADV20 $1,574,021 < $75,000,000"
AISP,filters,"Price $2.89 < $5.00; $ADV20 $2,433,415 < $75,000,000"
AIV,filters,"$ADV20 $12,771,656 < $75,000,000"
AIZ,scoring,score_below_min
AJG,scoring,score_below_min
AKAM,scoring,score_below_min
AKBA,filters,"Price $1.61 < $5.00; $ADV20 $4,687,612 < $75,000,000"
AKR,filters,"$ADV20 $27,449,263 < $75,000,000"
ALAB,signal,chop_threshold_not_met
ALB,scoring,score_below_min
ALCO,filters,"$ADV20 $1,188,049 < $75,000,000"
ALDX,filters,"$ADV20 $7,620,115 < $75,000,000"
ALEC,filters,"Price $1.56 < $5.00; $ADV20 $2,131,166 < $75,000,000"
ALEX,filters,"$ADV20 $33,909,101 < $75,000,000"
ALG,filters,"$ADV20 $19,041,697 < $75,000,000"
ALGN,scoring,score_below_min
ALGT,filters,"$ADV20 $24,433,318 < $75,000,000"
ALH,filters,"$ADV20 $35,121,728 < $75,000,000"
ALHC,filters,"$ADV20 $53,337,822 < $75,000,000"
ALIT,filters,"Price $1.95 < $5.00; $ADV20 $30,695,774 < $75,000,000"
ALKS,filters,"$ADV20 $46,613,471 < $75,000,000"
ALKT,filters,"$ADV20 $24,292,493 < $75,000,000"
ALL,signal,chop_threshold_not_met
ALLE,scoring,score_below_min
ALLO,filters,"Price $1.37 < $5.00; $ADV20 $3,842,238 < $75,000,000"
ALMS,filters,"$ADV20 $13,252,985 < $75,000,000"
ALMU,filters,"$ADV20 $6,504,020 < $75,000,000; 5d return 15.4% > 15.0% (avoiding chased names)"
ALNT,filters,"$ADV20 $9,056,197 < $75,000,000"
ALRM,filters,"$ADV20 $20,218,261 < $75,000,000"
ALRS,filters,"$ADV20 $2,273,834 < $75,000,000"
ALT,filters,"Price $3.61 < $5.00; $ADV20 $21,809,895 < $75,000,000"
ALTG,filters,"Price $4.60 < $5.00; $ADV20 $1,213,317 < $75,000,000"
ALTI,filters,"Price $4.64 < $5.00; $ADV20 $770,946 < $75,000,000"
ALX,filters,"$ADV20 $13,213,438 < $75,000,000"
AMAL,filters,"$ADV20 $5,196,482 < $75,000,000"
AMAT,scoring,score_below_min
AMBA,filters,"$ADV20 $53,907,206 < $75,000,000"
AMBP,filters,"Price $4.10 < $5.00; $ADV20 $4,034,926 < $75,000,000"
AMBQ,filters,"$ADV20 $2,612,174 < $75,000,000"
AMC,filters,"Price $1.56 < $5.00; $ADV20 $42,335,820 < $75,000,000"
AMCR,scoring,score_below_min
AMCX,filters,"$ADV20 $4,614,847 < $75,000,000"
AMD,scoring,score_below_min
AME,scoring,score_below_min
AMGN,scoring,score_below_min
AMLX,filters,"$ADV20 $19,436,932 < $75,000,000"
AMN,filters,"$ADV20 $15,020,932 < $75,000,000"
AMP,scoring,score_below_min
AMPH,filters,"$ADV20 $9,672,741 < $75,000,000"
AMPL,filters,"$ADV20 $12,148,016 < $75,000,000"
AMPX,filters,"$ADV20 $55,606,038 < $75,000,000"
AMR,filters,"$ADV20 $50,342,954 < $75,000,000"
AMRC,filters,"$ADV20 $14,578,680 < $75,000,000"
AMRX,filters,"$ADV20 $23,260,791 < $75,000,000"
AMSC,filters,"$ADV20 $24,009,662 < $75,000,000"
AMSF,filters,"$ADV20 $6,833,784 < $75,000,000"
AMT,scoring,score_below_min
AMTB,filters,"$ADV20 $4,549,750 < $75,000,000"
AMWD,filters,"$ADV20 $10,234,782 < $75,000,000"
AMZN,scoring,score_below_min
ANAB,filters,"$ADV20 $19,938,694 < $75,000,000"
ANDE,filters,"$ADV20 $20,925,410 < $75,000,000"
