ticker,stage,reason
NFE,filters,"Price $2.17 < $5.00; $ADV20 $4,392,492 < $75,000,000"
JELD,filters,"Price $2.17 < $5.00; $ADV20 $4,392,492 < $75,000,000"
CBZ,filters,"Price $1.22 < $5.00; $ADV20 $14,444,771 < $75,000,000"
PACS,filters,"Price $2.17 < $5.00; $ADV20 $4,392,492 < $75,000,000"
RSVR,filters,"$ADV20 $408,927 < $75,000,000"
KBH,filters,"$ADV20 $408,927 < $75,000,000"
SNFCA,filters,"$ADV20 $36,466,732 < $75,000,000"
CRDO,filters,"$ADV20 $36,466,732 < $75,000,000"
NOC,filters,"$ADV20 $36,466,732 < $75,000,000"
KALV,filters,"$ADV20 $65,033,188 < $75,000,000"
PSKY,scoring,tech_score_below_min_6.5
TNC,scoring,tech_score_below_min_6.5
ZIP,filters,"$ADV20 $8,386,503 < $75,000,000"
SNPS,filters,"$ADV20 $8,386,503 < $75,000,000"
AURA,scoring,tech_score_below_min_6.5
REVG,filters,"$ADV20 $38,328,845 < $75,000,000"
MU,filters,"$ADV20 $38,328,845 < $75,000,000"
TTEC,filters,"$ADV20 $38,328,845 < $75,000,000"
LDOS,filters,"$ADV20 $38,328,845 < $75,000,000"
TTD,filters,"$ADV20 $38,328,845 < $75,000,000"
SSTK,scoring,tech_score_below_min_6.5
VNDA,scoring,tech_score_below_min_6.5
HYLN,filters,"Price $2.01 < $5.00; $ADV20 $1,737,203 < $75,000,000"
HSY,filters,"Price $2.01 < $5.00; $ADV20 $1,737,203 < $75,000,000"
MNRO,filters,"Price $2.01 < $5.00; $ADV20 $1,737,203 < $75,000,000"
APOG,filters,"$ADV20 $18,449,095 < $75,000,000"
MBI,filters,"$ADV20 $18,449,095 < $75,000,000"
ATRO,filters,"$ADV20 $18,449,095 < $75,000,000"
TRMB,filters,"$ADV20 $41,483,389 < $75,000,000"
INVA,filters,"$ADV20 $41,483,389 < $75,000,000"
ALMS,filters,"$ADV20 $8,047,946 < $75,000,000"
TRVI,scoring,tech_score_below_min_6.5
PAYX,filters,"$ADV20 $15,449,229 < $75,000,000"
WMB,filters,"$ADV20 $3,130,843 < $75,000,000"
CTRN,filters,"$ADV20 $3,130,843 < $75,000,000"
RUSHB,filters,"$ADV20 $3,130,843 < $75,000,000"
IMMR,scoring,tech_score_below_min_6.5
HAFC,scoring,tech_score_below_min_6.5
CSW,filters,"$ADV20 $2,504,650 < $75,000,000"
CRVS,filters,"$ADV20 $57,339,141 < $75,000,000"
CLAR,filters,"Price $3.36 < $5.00; $ADV20 $748,857 < $75,000,000"
WINA,filters,"Price $3.36 < $5.00; $ADV20 $748,857 < $75,000,000"
ZBIO,filters,"Price $3.36 < $5.00; $ADV20 $748,857 < $75,000,000"
GEVO,filters,"$ADV20 $16,716,185 < $75,000,000"
FHTX,filters,"$ADV20 $16,716,185 < $75,000,000"
AGIO,filters,"$ADV20 $24,634,910 < $75,000,000"
SOFI,filters,"$ADV20 $24,634,910 < $75,000,000"
EBS,filters,"$ADV20 $24,634,910 < $75,000,000"
BRBS,filters,"$ADV20 $6,396,332 < $75,000,000"
BWIN,filters,"$ADV20 $6,396,332 < $75,000,000"
GAMB,filters,"Price $4.26 < $5.00; $ADV20 $955,029 < $75,000,000"
