ticker,stage,reason
AAMI,filters,price 2.81 < 8.0
AAOI,filters,price 0.71 < 8.0
AAP,setup,did_not_meet_breakout_or_reversal
AARD,filters,avg_vol_20d 900476 < 1000000
AAT,filters,rvol 0.42 < 1.3
ABAT,filters,rvol 1.09 < 1.3
ABCB,filters,avg_vol_20d 89726 < 1000000
ABEO,filters,rvol 0.71 < 1.3
ABG,filters,avg_vol_20d 407442 < 1000000
ABL,filters,avg_vol_20d 418220 < 1000000
ABM,filters,avg_vol_20d 56387 < 1000000
ABR,filters,price 4.45 < 8.0
ABSI,filters,price 7.35 < 8.0
ABTC,filters,rvol 0.87 < 1.3
ABUS,filters,avg_vol_20d 726969 < 1000000
ACA,filters,price 2.20 < 8.0
ACAD,filters,adv20 25939891 < 30000000
ACCO,filters,rvol 0.49 < 1.3
ACDC,filters,adv20 13351426 < 30000000
ACEL,filters,rvol 0.68 < 1.3
ACHR,filters,price 6.16 < 8.0
ACIC,filters,avg_vol_20d 66233 < 1000000
ACIW,filters,avg_vol_20d 838889 < 1000000
ACLS,filters,price 2.98 < 8.0
ACLX,filters,price 7.96 < 8.0
ACMR,filters,avg_vol_20d 815467 < 1000000
ACNB,filters,price 3.66 < 8.0
ACNT,filters,rvol 0.50 < 1.3
ACR,filters,avg_vol_20d 661353 < 1000000
ACRE,filters,avg_vol_20d 212484 < 1000000
ACRS,filters,avg_vol_20d 492299 < 1000000
ACT,filters,avg_vol_20d 179733 < 1000000
ACTG,filters,avg_vol_20d 371526 < 1000000
ACTU,filters,rvol 0.77 < 1.3
ACU,filters,rvol 1.06 < 1.3
ACVA,filters,avg_vol_20d 792223 < 1000000
ADAM,filters,avg_vol_20d 644478 < 1000000
ADCT,filters,avg_vol_20d 326776 < 1000000
ADEA,filters,rvol 0.97 < 1.3
ADMA,filters,avg_vol_20d 94876 < 1000000
ADNT,filters,price 2.60 < 8.0
ADPT,filters,adv20 23671199 < 30000000
ADTN,filters,price 7.04 < 8.0
ADUS,filters,avg_vol_20d 66817 < 1000000
ADV,filters,rvol 0.50 < 1.3
AEBI,filters,price 5.58 < 8.0
AEHR,filters,avg_vol_20d 321779 < 1000000
AEIS,filters,avg_vol_20d 156615 < 1000000
AEO,filters,adv20 23161363 < 30000000
AESI,filters,price 5.46 < 8.0
AEVA,filters,adv20 21393173 < 30000000
AEYE,filters,rvol 0.72 < 1.3
AFCG,filters,rvol 0.73 < 1.3
AFRI,filters,price 7.65 < 8.0
AGIO,filters,avg_vol_20d 797755 < 1000000
AGL,filters,atr_pct 0.27 < 2.5
AGM,filters,price 6.74 < 8.0
AGX,filters,avg_vol_20d 69818 < 1000000
AGYS,filters,avg_vol_20d 432796 < 1000000
AHCO,filters,rvol 1.08 < 1.3
AHH,filters,avg_vol_20d 121560 < 1000000
AHL,filters,avg_vol_20d 572963 < 1000000
AHR,filters,price 2.15 < 8.0
AI,filters,avg_vol_20d 525681 < 1000000
AII,filters,price 5.35 < 8.0
AIN,filters,avg_vol_20d 102239 < 1000000
AIOT,filters,price 1.18 < 8.0
AIP,filters,avg_vol_20d 371332 < 1000000
AIR,filters,avg_vol_20d 290528 < 1000000
AIRJ,filters,avg_vol_20d 318780 < 1000000
AIRO,filters,avg_vol_20d 469764 < 1000000
AIRS,filters,price 3.24 < 8.0
AISP,filters,avg_vol_20d 857631 < 1000000
AIV,filters,rvol 0.86 < 1.3
AKBA,filters,rvol 0.54 < 1.3
AKR,filters,avg_vol_20d 572229 < 1000000
ALAB,filters,avg_vol_20d 92831 < 1000000
ALB,filters,avg_vol_20d 513963 < 1000000
ALCO,filters,avg_vol_20d 138678 < 1000000
ALDX,filters,rvol 0.47 < 1.3
ALEC,filters,avg_vol_20d 227546 < 1000000
ALEX,filters,avg_vol_20d 29543 < 1000000
ALG,filters,avg_vol_20d 576042 < 1000000
ALGT,filters,price 1.78 < 8.0
ALH,filters,price 6.51 < 8.0
ALHC,filters,price 7.49 < 8.0
ALIT,filters,rvol 0.90 < 1.3
ALKS,filters,rvol 1.08 < 1.3
ALKT,filters,avg_vol_20d 622229 < 1000000
ALLO,filters,avg_vol_20d 390302 < 1000000
ALMS,filters,price 6.13 < 8.0
ALMU,filters,rvol 0.75 < 1.3
ALNT,data,empty_or_short_history
