ticker,name,exchange,sector,technical_score,technical_evidence,breakout_score,momentum_adj,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
ONDS,Ondas Inc.,NCM,Technology,10.0,"{'dist_to_52w_high_pct': 1.35, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.69, 'rsi14': 58.66, 'ma10': 212.02, 'ma20': 209.34, 'ma50': 207.96, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 64.64, 'breakout': {'score': 2.0, 'donchian20_prev': 226.94, 'donchian55_prev': 226.94, 'atr14': 8.3454, 'vol_ratio_3_20': 1.6892, 'breakout_strength_atr': -0.3679, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 3.73, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.62, 'extension_adj': 0.0}, 'data_gaps': []}",2.0,0.25,223.8699951171875,4536927744,177213862.06529847,2026-02-27T00:00:00Z
AGM,Federal Agricultural Mortgage Corporation,NYSE,Financial Services,10.0,"{'dist_to_52w_high_pct': 1.55, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.7, 'rsi14': 62.24, 'ma10': 78.47, 'ma20': 77.3, 'ma50': 69.45, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 39.21, 'breakout': {'score': 2.0, 'donchian20_prev': 81.89, 'donchian55_prev': 81.89, 'atr14': 4.4083, 'vol_ratio_3_20': 1.702, 'breakout_strength_atr': -0.2881, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 5.47, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.55, 'extension_adj': 0.0}, 'data_gaps': []}",2.0,0.25,80.62000274658203,1719238656,49148054.50587273,2026-02-27T00:00:00Z
AMBQ,"Ambiq Micro, Inc.",NYSE,Technology,10.0,"{'dist_to_52w_high_pct': 1.55, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.7, 'rsi14': 62.24, 'ma10': 78.47, 'ma20': 77.3, 'ma50': 69.45, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 39.21, 'breakout': {'score': 2.0, 'donchian20_prev': 81.89, 'donchian55_prev': 81.89, 'atr14': 4.4083, 'vol_ratio_3_20': 1.702, 'breakout_strength_atr': -0.2881, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 5.47, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.55, 'extension_adj': 0.0}, 'data_gaps': []}",2.0,0.25,80.62000274658203,643274944,49148054.50587273,2026-02-27T00:00:00Z
SBFG,"SB Financial Group, Inc.",NCM,Financial Services,10.0,"{'dist_to_52w_high_pct': 1.55, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.7, 'rsi14': 62.24, 'ma10': 78.47, 'ma20': 77.3, 'ma50': 69.45, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 39.21, 'breakout': {'score': 2.0, 'donchian20_prev': 81.89, 'donchian55_prev': 81.89, 'atr14': 4.4083, 'vol_ratio_3_20': 1.702, 'breakout_strength_atr': -0.2881, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 5.47, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.55, 'extension_adj': 0.0}, 'data_gaps': []}",2.0,0.25,80.62000274658203,129278960,49148054.50587273,2026-02-27T00:00:00Z
FITB,Fifth Third Bancorp,NASDAQ,Financial Services,9.05,"{'dist_to_52w_high_pct': 0.21, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.4, 'rsi14': 66.52, 'ma10': 10.54, 'ma20': 10.25, 'ma50': 9.15, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 69.44, 'breakout': {'score': 8.0, 'donchian20_prev': 10.89, 'donchian55_prev': 10.89, 'atr14': 0.5704, 'vol_ratio_3_20': 1.396, 'breakout_strength_atr': 1.3499, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 4.89, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.81, 'extension_adj': 0.0}, 'data_gaps': []}",8.0,0.25,11.65999984741211,44525395968,61450949.29149876,2026-02-27T00:00:00Z
AGL,"agilon health, inc.",NYSE,Healthcare,8.65,"{'dist_to_52w_high_pct': 1.3, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.99, 'rsi14': 67.14, 'ma10': 59.33, 'ma20': 57.73, 'ma50': 55.21, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 33.23, 'breakout': {'score': 4.0, 'donchian20_prev': 61.25, 'donchian55_prev': 61.25, 'atr14': 1.9829, 'vol_ratio_3_20': 0.9946, 'breakout_strength_atr': 0.0857, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 3.23, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.47, 'extension_adj': 0.0}, 'data_gaps': []}",4.0,0.25,61.41999816894531,244312928,546311461.1096427,2026-02-27T00:00:00Z
MAGN,Magnera Corporation,NYSE,Consumer Defensive,8.65,"{'dist_to_52w_high_pct': 1.3, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.99, 'rsi14': 67.14, 'ma10': 59.33, 'ma20': 57.73, 'ma50': 55.21, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 33.23, 'breakout': {'score': 4.0, 'donchian20_prev': 61.25, 'donchian55_prev': 61.25, 'atr14': 1.9829, 'vol_ratio_3_20': 0.9946, 'breakout_strength_atr': 0.0857, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 3.23, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.47, 'extension_adj': 0.0}, 'data_gaps': []}",4.0,0.25,61.41999816894531,461020000,546311461.1096427,2026-02-27T00:00:00Z
SAFE,Safehold Inc.,NYSE,Real Estate,8.65,"{'dist_to_52w_high_pct': 0.09, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.83, 'rsi14': 65.71, 'ma10': 52.27, 'ma20': 50.63, 'ma50': 47.85, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 62.88, 'breakout': {'score': 4.0, 'donchian20_prev': 57.96, 'donchian55_prev': 57.96, 'atr14': 3.8568, 'vol_ratio_3_20': 0.8257, 'breakout_strength_atr': 0.0233, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 6.64, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.77, 'extension_adj': 0.0}, 'data_gaps': []}",4.0,0.25,58.04999923706055,1158153600,54736468.126312636,2026-02-27T00:00:00Z
SONO,"Sonos, Inc.",NASDAQ,Technology,8.65,"{'dist_to_52w_high_pct': 1.3, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.99, 'rsi14': 67.14, 'ma10': 59.33, 'ma20': 57.73, 'ma50': 55.21, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 33.23, 'breakout': {'score': 4.0, 'donchian20_prev': 61.25, 'donchian55_prev': 61.25, 'atr14': 1.9829, 'vol_ratio_3_20': 0.9946, 'breakout_strength_atr': 0.0857, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 3.23, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.47, 'extension_adj': 0.0}, 'data_gaps': []}",4.0,0.25,61.41999816894531,1861556224,546311461.1096427,2026-02-27T00:00:00Z
TGNA,TEGNA Inc.,NYSE,Communication Services,8.45,"{'dist_to_52w_high_pct': 49.41, 'within_5pct_52w_high': False, 'volume_ratio_3d_to_20d': 1.57, 'rsi14': 51.53, 'ma10': 8.53, 'ma20': 8.56, 'ma50': 8.85, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 157.35, 'breakout': {'score': 2.0, 'donchian20_prev': 10.495, 'donchian55_prev': 11.395, 'atr14': 0.7161, 'vol_ratio_3_20': 1.5712, 'breakout_strength_atr': -2.0878, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 7.96, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.79, 'extension_adj': 0.0}, 'data_gaps': []}",2.0,0.25,9.0,3374139648,167464743.03680468,2026-02-27T00:00:00Z
