Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
PLPC,41.64,1.98,11.35,68.4,7.3,60395012.0,32.24,27.88,1,1,59.79,6.14,Breakout,29.36,False
AHH,41.64,1.98,11.35,68.4,7.3,60395012.0,32.24,27.88,1,1,59.79,6.14,Breakout,29.36,False
WTS,41.64,1.98,11.35,68.4,7.3,60395012.0,32.24,27.88,1,1,59.79,6.14,Breakout,29.36,False
ACIC,40.65,4.18,4.69,55.2,9.4,89002462.0,39.83,39.19,1,1,0.4,0.87,Breakout,24.35,False
XERS,40.65,4.18,4.69,55.2,9.4,89002462.0,39.83,39.19,1,1,0.4,0.87,Breakout,24.35,False
FOA,45.76,1.39,5.2,60.4,5.45,45089856.0,42.03,38.72,1,1,21.28,11.53,Breakout,19.83,False
AMC,177.53,2.06,3.67,66.7,3.18,457662721.0,170.25,158.8,1,1,11.91,2.9,Breakout,18.96,False
CNK,53.68,1.57,3.84,74.4,4.72,709671215.0,48.96,45.03,1,1,22.56,3.33,Breakout,17.79,False
TTMI,217.71,1.85,3.23,70.2,1.91,589565804.0,201.13,186.78,1,1,20.8,9.22,Breakout,17.76,False
IBP,217.71,1.85,3.23,70.2,1.91,589565804.0,201.13,186.78,1,1,20.8,9.22,Breakout,17.76,False
TVTX,217.71,1.85,3.23,70.2,1.91,589565804.0,201.13,186.78,1,1,20.8,9.22,Breakout,17.76,False
HNVR,79.41,1.87,3.49,78.7,2.98,83923466.0,71.25,61.95,1,1,24.62,8.23,Breakout,17.73,False
MLAB,118.52,1.93,2.81,75.4,3.25,1000191814.0,110.38,102.21,1,1,16.44,7.17,Breakout,17.04,False
HTZ,118.52,1.93,2.81,75.4,3.25,1000191814.0,110.38,102.21,1,1,16.44,7.17,Breakout,17.04,False
NTLA,118.52,1.93,2.81,75.4,3.25,1000191814.0,110.38,102.21,1,1,16.44,7.17,Breakout,17.04,False
