Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
PLPC,41.64,1.98,11.35,68.4,7.3,60395012.0,32.24,27.88,1,1,59.79,6.14,Breakout,29.36,False
AHH,41.64,1.98,11.35,68.4,7.3,60395012.0,32.24,27.88,1,1,59.79,6.14,Breakout,29.36,False
WTS,41.64,1.98,11.35,68.4,7.3,60395012.0,32.24,27.88,1,1,59.79,6.14,Breakout,29.36,False
EXTR,20.3,1.55,7.87,25.6,61.79,58314159.0,25.55,28.27,0,0,-26.02,-21.2,Reversal,28.27,False
GRC,20.3,1.55,7.87,25.6,61.79,58314159.0,25.55,28.27,0,0,-26.02,-21.2,Reversal,28.27,False
PLAB,20.3,1.55,7.87,25.6,61.79,58314159.0,25.55,28.27,0,0,-26.02,-21.2,Reversal,28.27,False
COSO,20.3,1.55,7.87,25.6,61.79,58314159.0,25.55,28.27,0,0,-26.02,-21.2,Reversal,28.27,False
PGC,20.3,1.55,7.87,25.6,61.79,58314159.0,25.55,28.27,0,0,-26.02,-21.2,Reversal,28.27,False
SKYH,20.3,1.55,7.87,25.6,61.79,58314159.0,25.55,28.27,0,0,-26.02,-21.2,Reversal,28.27,False
TRUE,20.3,1.55,7.87,25.6,61.79,58314159.0,25.55,28.27,0,0,-26.02,-21.2,Reversal,28.27,False
ARWR,12.91,1.43,5.83,28.6,48.19,43150049.0,13.87,15.0,0,0,-3.3,-2.79,Reversal,25.49,False
PAMT,12.91,1.43,5.83,28.6,48.19,43150049.0,13.87,15.0,0,0,-3.3,-2.79,Reversal,25.49,False
XERS,40.65,4.18,4.69,55.2,9.4,89002462.0,39.83,39.19,1,1,0.4,0.87,Breakout,24.35,False
ACIC,40.65,4.18,4.69,55.2,9.4,89002462.0,39.83,39.19,1,1,0.4,0.87,Breakout,24.35,False
RGNX,17.85,2.8,5.05,30.5,13.14,57815082.0,18.53,18.4,0,0,-0.83,-0.28,Reversal,23.31,False
FIP,284.03,1.88,4.38,28.7,35.15,607244914.0,330.68,347.25,0,0,-16.91,-13.18,Reversal,22.98,False
CCOI,64.6,1.31,5.5,31.1,15.43,612725474.0,69.76,69.65,0,0,-6.49,-6.69,Reversal,21.19,False
RGTI,64.6,1.31,5.5,31.1,15.43,612725474.0,69.76,69.65,0,0,-6.49,-6.69,Reversal,21.19,False
EHTH,64.6,1.31,5.5,31.1,15.43,612725474.0,69.76,69.65,0,0,-6.49,-6.69,Reversal,21.19,False
WKC,64.6,1.31,5.5,31.1,15.43,612725474.0,69.76,69.65,0,0,-6.49,-6.69,Reversal,21.19,False
FOA,45.76,1.39,5.2,60.4,5.45,45089856.0,42.03,38.72,1,1,21.28,11.53,Breakout,19.83,False
AMC,177.53,2.06,3.67,66.7,3.18,457662721.0,170.25,158.8,1,1,11.91,2.9,Breakout,18.96,False
CNK,53.68,1.57,3.84,74.4,4.72,709671215.0,48.96,45.03,1,1,22.56,3.33,Breakout,17.79,False
TTMI,217.71,1.85,3.23,70.2,1.91,589565804.0,201.13,186.78,1,1,20.8,9.22,Breakout,17.76,False
IBP,217.71,1.85,3.23,70.2,1.91,589565804.0,201.13,186.78,1,1,20.8,9.22,Breakout,17.76,False
