Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
PLAB,20.3,1.55,7.87,25.6,61.79,58314159.0,25.55,28.27,0,0,-26.02,-21.2,Reversal,28.27,False
GRC,20.3,1.55,7.87,25.6,61.79,58314159.0,25.55,28.27,0,0,-26.02,-21.2,Reversal,28.27,False
EXTR,20.3,1.55,7.87,25.6,61.79,58314159.0,25.55,28.27,0,0,-26.02,-21.2,Reversal,28.27,False
COSO,20.3,1.55,7.87,25.6,61.79,58314159.0,25.55,28.27,0,0,-26.02,-21.2,Reversal,28.27,False
SKYH,20.3,1.55,7.87,25.6,61.79,58314159.0,25.55,28.27,0,0,-26.02,-21.2,Reversal,28.27,False
TRUE,20.3,1.55,7.87,25.6,61.79,58314159.0,25.55,28.27,0,0,-26.02,-21.2,Reversal,28.27,False
PGC,20.3,1.55,7.87,25.6,61.79,58314159.0,25.55,28.27,0,0,-26.02,-21.2,Reversal,28.27,False
ARWR,12.91,1.43,5.83,28.6,48.19,43150049.0,13.87,15.0,0,0,-3.3,-2.79,Reversal,25.49,False
PAMT,12.91,1.43,5.83,28.6,48.19,43150049.0,13.87,15.0,0,0,-3.3,-2.79,Reversal,25.49,False
RGNX,17.85,2.8,5.05,30.5,13.14,57815082.0,18.53,18.4,0,0,-0.83,-0.28,Reversal,23.31,False
FIP,284.03,1.88,4.38,28.7,35.15,607244914.0,330.68,347.25,0,0,-16.91,-13.18,Reversal,22.98,False
RGTI,64.6,1.31,5.5,31.1,15.43,612725474.0,69.76,69.65,0,0,-6.49,-6.69,Reversal,21.19,False
WKC,64.6,1.31,5.5,31.1,15.43,612725474.0,69.76,69.65,0,0,-6.49,-6.69,Reversal,21.19,False
CCOI,64.6,1.31,5.5,31.1,15.43,612725474.0,69.76,69.65,0,0,-6.49,-6.69,Reversal,21.19,False
EHTH,64.6,1.31,5.5,31.1,15.43,612725474.0,69.76,69.65,0,0,-6.49,-6.69,Reversal,21.19,False
