scan_date,ticker,period,in_weekly_top5,in_pro30,in_movers,weekly_rank,source,composite_score,technical_score,catalyst_score,entry_price,exit_price,max_price,min_price,return_pct,max_return_pct,max_drawdown_pct,trading_days,hit_5pct,hit_10pct,hit_15pct
2025-11-17,TWST,5,False,True,False,,30d_momentum,,,,26.46,29.33,29.56,24.41,10.85,11.72,-7.77,5,True,True,False
2025-11-17,TWST,7,False,True,False,,30d_momentum,,,,26.46,31.7,31.79,24.41,19.8,20.12,-7.77,7,True,True,True
2025-11-17,TWST,10,False,True,False,,30d_momentum,,,,26.46,29.7,32.1,24.41,12.24,21.32,-7.77,10,True,True,True
2025-11-17,TWST,14,False,True,False,,30d_momentum,,,,26.46,32.22,33.24,24.41,21.77,25.62,-7.77,14,True,True,True
2025-11-17,PARR,5,False,True,False,,30d_momentum,,,,44.99,44.61,46.92,41.95,-0.84,4.29,-6.77,5,False,False,False
2025-11-17,PARR,7,False,True,False,,30d_momentum,,,,44.99,44.75,46.92,41.95,-0.53,4.29,-6.77,7,False,False,False
2025-11-17,PARR,10,False,True,False,,30d_momentum,,,,44.99,46.1,47.55,41.95,2.47,5.69,-6.77,10,True,False,False
2025-11-17,PARR,14,False,True,False,,30d_momentum,,,,44.99,43.13,47.55,41.95,-4.13,5.69,-6.77,14,True,False,False
2025-11-17,CDTX,5,False,True,False,,30d_momentum,,,,217.91,220.25,220.46,217.76,1.07,1.17,-0.07,5,False,False,False
2025-11-17,CDTX,7,False,True,False,,30d_momentum,,,,217.91,219.75,220.46,217.76,0.84,1.17,-0.07,7,False,False,False
2025-11-17,CDTX,10,False,True,False,,30d_momentum,,,,217.91,219.89,220.46,217.76,0.91,1.17,-0.07,10,False,False,False
2025-11-17,CDTX,14,False,True,False,,30d_momentum,,,,217.91,220.07,221.2,217.76,0.99,1.51,-0.07,14,False,False,False
2025-11-19,NUVB,5,False,True,False,,30d_momentum,,,,7.15,8.01,8.24,6.51,12.03,15.24,-8.95,5,True,True,True
2025-11-19,NUVB,7,False,True,False,,30d_momentum,,,,7.15,7.88,8.24,6.51,10.21,15.24,-8.95,7,True,True,True
2025-11-19,NUVB,10,False,True,False,,30d_momentum,,,,7.15,8.31,8.56,6.51,16.22,19.79,-8.95,10,True,True,True
2025-11-19,NUVB,14,False,True,False,,30d_momentum,,,,7.15,7.84,8.95,6.51,9.65,25.21,-8.95,14,True,True,True
2025-11-19,MSTR,5,False,True,False,,30d_momentum,,,,186.5,175.64,193.53,166.01,-5.82,3.77,-10.99,5,False,False,False
2025-11-19,MSTR,7,False,True,False,,30d_momentum,,,,186.5,171.42,193.53,155.61,-8.09,3.77,-16.56,7,False,False,False
2025-11-19,MSTR,10,False,True,False,,30d_momentum,,,,186.5,186.01,193.53,155.61,-0.26,3.77,-16.56,10,False,False,False
2025-11-19,MSTR,14,False,True,False,,30d_momentum,,,,186.5,184.64,198.4,155.61,-1.0,6.38,-16.56,14,True,False,False
2025-11-20,AGIO,5,False,True,False,,30d_momentum,,,,24.57,29.2,29.46,23.0,18.84,19.9,-6.39,5,True,True,True
